0 27 207 1 21 2 4 3 15 11 2 4 4 38 23 12 2 18 4 5 14 7 33 6 50 8 50 25 26 27 27 9 13 10 1 13 26 20 16 15 6 23 49 19 43 14 3 32 20 16 19 35 44 24 22 17 25
1 27 238 4 29 1 35 6 37 15 12 5 4 2 37 3 41 9 21 10 36 7 45 20 19 12 32 34 34 28 27 37 41 13 8 24 20 8 37 14 45 31 11 11 30 19 45 25 9 29 29 50 25 22 48 38 50
2 27 212 1 37 2 8 7 10 3 29 4 23 6 26 47 28 10 25 8 41 5 1 24 18 21 37 18 19 13 35 35 41 15 42 12 46 9 45 16 45 20 28 31 22 19 3 14 36 11 1 17 44 23 9 33 35
3 27 234 2 38 1 41 14 35 3 37 9 19 7 13 8 28 22 15 4 46 5 46 46 3 15 1 12 34 13 4 11 48 6 16 45 44 19 49 20 10 18 2 49 37 17 7 41 45 10 18 26 17 16 25 30 32
4 27 220 1 40 2 16 4 6 3 39 5 35 18 36 9 17 6 36 16 20 11 12 7 13 10 16 8 35 15 11 25 44 12 48 17 35 30 2 21 3 22 24 27 2 48 3 13 46 19 38 32 11 37 21 23 8
5 27 221 1 12 10 3 2 42 4 7 6 1 14 22 3 14 5 7 15 38 7 28 13 29 8 18 9 2 12 14 21 25 28 6 11 24 32 38 27 21 17 20 26 27 38 5 41 27 18 27 25 11 20 1 29 36
6 27 244 1 3 2 24 6 37 3 6 13 22 4 10 16 25 5 9 9 6 10 9 7 38 18 9 11 29 8 27 48 12 14 50 49 28 30 25 12 9 31 45 19 8 32 44 42 50 23 20 24 14 15 49 37 40
7 27 230 1 4 6 35 2 8 3 48 4 25 21 9 8 50 5 35 10 10 11 31 41 35 33 26 22 44 23 6 13 35 14 3 7 22 9 14 20 6 25 29 16 25 12 2 31 35 18 7 47 4 15 13 43 8
8 27 203 1 23 7 36 3 9 2 19 12 7 4 13 5 9 6 14 8 27 16 10 9 18 23 46 11 33 14 36 17 25 26 46 13 36 10 50 22 8 30 46 19 23 31 23 21 17 27 41 20 36 15 23 34 44
9 27 220 1 1 2 43 8 2 5 13 3 48 4 22 11 21 12 49 7 50 24 31 9 23 31 47 6 11 10 43 27 43 17 32 21 17 19 8 14 11 28 34 16 44 40 2 13 34 25 25 39 22 34 36 15 44
10 27 237 1 3 2 9 5 46 21 13 4 37 10 40 17 3 7 16 3 7 8 17 14 36 6 17 9 11 43 36 11 39 31 8 30 4 35 46 13 26 18 25 24 12 26 20 39 26 49 9 20 37 16 31 12 44
11 27 262 2 17 1 49 3 15 7 5 4 35 5 5 8 8 21 44 6 42 13 43 12 36 39 19 16 44 15 9 42 33 9 32 41 48 10 12 38 29 22 22 26 34 32 27 30 18 11 10 37 31 44 10 31 31
12 27 230 1 7 3 35 14 22 4 36 2 36 19 12 15 15 21 39 8 19 20 12 12 2 25 13 5 5 6 34 9 1 31 28 7 4 11 20 10 1 32 43 46 39 13 30 47 4 16 5 44 9 17 15 23 45
13 27 217 1 4 2 33 3 47 9 34 5 25 10 34 4 33 7 32 6 39 11 16 21 33 8 2 27 8 15 25 25 2 16 5 20 44 12 13 14 19 13 48 22 9 31 8 19 3 17 50 29 43 45 21 42 15
14 27 215 2 33 1 32 4 1 10 23 3 29 5 36 16 6 6 35 7 36 12 40 17 20 8 29 9 16 18 22 28 39 30 21 33 19 11 14 15 31 29 23 13 38 20 8 19 29 23 20 42 16 25 12 24 19
