brutOK,err,tH,tDC,errH,tDW,tBB,n
True,True,0.0837252221085376,534.3569107935764,0.0,9027.8205499053,83.10304354462359,27
True,True,0.08362870726310537,431.44710240885615,0.0,6846.337619936094,856.1328094219789,27
True,True,0.08234743594785122,439.2369400244206,0.003355704697986577,8982.3057660833,505.78108965419233,27
True,True,0.08350853084491465,357.63744249319035,0.0,7476.205257000402,1498.9251380320638,27
True,True,0.0840189115078337,342.89107358615314,0.02287581699346405,7113.316426053643,1340.7027961220592,27
True,True,0.08404265180860601,358.951088002262,0.0,5574.129398912191,299.9935243666793,27
True,True,0.08241457149029124,556.9433255004697,0.0,9812.996291089803,3781.3928660470992,27
True,True,0.0833247219515558,315.4432585662497,0.015444015444015444,6638.062963960692,49.58716950879046,27
True,True,0.08464179274182855,359.9866915028542,0.01824212271973466,6031.933770049363,362.14828103159863,27
True,True,0.08585316462321174,526.6114205005579,0.0,5486.630860948935,88.41599595239934,27
True,True,0.08240117455879216,279.63529937551357,0.0,6299.842220032588,1061.2670105183497,27
True,True,0.08373307724296719,473.3130828011781,0.020618556701030927,7391.821410972625,253.01513128215447,27
True,True,0.08430311606620818,412.73677283121896,0.0,7066.968297120184,162.63762776119015,27
True,True,0.08312579682364792,714.2522692835579,0.0256,10346.288240980357,311.1150423064828,27
True,True,0.08509198205629831,397.1040091710165,0.024390243902439025,6943.440955132246,1014.841154566966,27
True,True,0.08408082276485931,460.50079418346286,0.0,7808.665196178481,67.15330888298065,27
True,True,0.08393386729763931,391.73943902521086,0.0,7785.027587087825,1588.9182700775564,27
True,True,0.0840087000804485,527.8054137597792,0.024390243902439025,8215.85622499697,3814.053504029289,27
True,True,0.08419207366983238,437.4834975693375,0.0035149384885764497,7325.641234871,382.6853475999087,27
True,True,0.08488960059145854,496.31655900739133,0.00949367088607595,6842.250569956377,867.8615739336237,27
True,True,0.08416163007218891,408.60931218291324,0.01160541586073501,6058.316439855844,155.14035912929103,27
True,True,0.08650932612090298,472.97393260523677,0.0,5512.871494982392,34.337100692284416,27
True,True,0.0824626353629591,439.6695408038795,0.0,8546.358576975763,473.17313868552446,27
True,True,0.08131517538189728,459.17979343794286,0.0,6877.147292019799,230.40964834702513,27
