tDC,tDW,err,errH,tH,n,tBB,brutOK
485.8831393998116,310.0486326147802,True,0.0,0.0869050172707168,27,4.786695887317292,True
540.9396547474898,308.1852114992216,True,0.0028694404591104736,0.08755067118411965,27,6.054495046291636,True
663.7561807098488,303.0009251378942,True,0.008310249307479225,0.08741871707534712,27,6.59228783532432,True
544.1121112089604,274.41907221347924,True,0.006568144499178982,0.08701580800947298,27,5.070358945032685,True
696.8705743396034,294.7644282539841,True,0.0,0.08608685895059116,27,7.566043573822226,True
420.80505918711424,230.46351759694517,True,0.006568144499178982,0.08719877979595438,27,1.4336917327991763,True
469.297110568732,209.5732586246661,True,0.0,0.08724528264222108,27,1.0818371453159858,True
451.3724412303418,266.04038800319864,True,0.0,0.08740900257618664,27,2.385236556768756,True
315.9815728597875,133.35335922117034,True,0.0,0.08797866942324886,27,1.381662602619428,True
471.0672611836344,287.49283312936313,True,0.005555555555555556,0.08666773647961172,27,14.229713838988093,True
470.1211601961404,315.4582659980016,True,0.00927357032457496,0.08612782443800869,27,5.943385698328461,True
422.1447613555938,239.996119402349,True,0.0029498525073746312,0.08733702045208462,27,10.355102166843912,True
533.36446773028,321.57120258281276,True,0.0,0.08708345862655265,27,16.54702162198808,True
424.9390931800008,261.4070688788261,True,0.0,0.08683756587534996,27,2.4880792148748867,True
350.72843041936204,196.17156108142808,True,0.0035211267605633804,0.08729355151371747,27,1.681938785033297,True
546.413303760346,437.3703737743199,True,0.0,0.08680595554644985,27,17.086421546991915,True
507.712057500612,299.3294572515879,True,0.0,0.08765291779781792,27,5.796175221031581,True
599.764053709805,295.40309263393283,True,0.011523687580025609,0.08744171585647169,27,10.585760282581004,True
355.3909415911351,217.55106245506218,True,0.0,0.08749572998465428,27,6.441586793374296,True
379.1177204887693,254.46645643872517,True,0.0,0.08767145680506586,27,0.46874967595807054,True
305.15546337119304,170.51670964740748,True,0.0049833887043189366,0.08774245578979957,27,1.875862810493345,True
685.5951369895289,410.15465879657614,True,0.0,0.08674827225805959,27,8.599918910625334,True
592.333120002877,303.27690462581813,True,0.0,0.08739604929200652,27,20.606274247661023,True
403.9859971574818,201.51319009407112,True,0.0,0.0872854049727767,27,1.5131761409256541,True
428.44728217460215,231.59085910301656,True,0.002688172043010753,0.08682915607226148,27,1.7030092452888117,True
475.90788900852203,219.793702094731,True,0.0,0.08708259231335996,27,1.436850432941362,True
637.8319969711205,389.38942349826294,True,0.0015873015873015873,0.0871154519456271,27,2.6938088532701574,True
301.87643913086504,202.16352224815637,True,0.0,0.08787945269696952,27,8.525726088354814,True
644.4900923719009,312.59028483847425,True,0.0,0.08699150419889437,27,3.296813256360732,True
532.3167267488316,209.77478127249265,True,0.005242463958060288,0.08759855390985365,27,2.90203653536598,True
446.8744395766407,194.58411424420774,True,0.0,0.08765184665557621,27,2.074551548826221,True
598.4621709794737,271.06184931471944,True,0.006640106241699867,0.08820171580595011,27,1.1863800082446452,True
479.9979045987129,266.0495341082828,True,0.0,0.0878330746671137,27,1.7195224761527286,True
454.24233176745474,203.19807591537634,True,0.0,0.08726310942437882,27,2.5760319472331314,True
556.0863522696309,324.22209211758206,True,0.0,0.08683595715980463,27,13.017547425503533,True
471.0537889972329,340.6155447342566,True,0.0,0.087721220700629,27,1.1259737061422077,True
