n,brutOK,err,errH,tH,tDC,tDW,tBB
27,True,True,0.010146350586805068,0.08074421874303807,12709.843872115016,325.59914644142344,491.5432440272222
27,True,True,0.021660930100152687,0.0819933153948617,9888.381761033088,207.82559832635647,3704.6049130149186
27,True,True,0.010752688172043012,0.08192120257095754,11262.523556826636,267.98756022213234,824.9933064216748
27,True,True,0.013613674179397973,0.08285842628461479,10166.741468012333,165.15686213970184,808.2745940191671
27,True,True,0.00434968625213919,0.08096050200081245,9877.880210988224,155.2543116849847,942.7085884381086
27,True,True,0.006575584367303313,0.08199303174121085,9566.458992892876,194.53684009689218,5658.5041710641235
27,True,True,0.004867936833278986,0.08112339577021403,12306.554495124146,249.43244131281972,2742.9929131176323
27,True,True,0.001415704056299883,0.08227860077425869,9696.732371114194,137.84682978358535,1023.9186269463971
27,True,True,0.0,0.08109233635001921,10961.232463130727,134.13590911982786,543.9058472402394
27,True,True,0.0,0.0826005116876353,14556.96808709763,249.44497300311923,263.49207599802565
27,True,True,0.0,0.08239218200027514,7921.831330982968,145.0209006502786,957.2176819201559
27,True,True,0.009809288169735718,0.08106146814263171,10972.688841167837,174.41444072340215,705.648863571696
27,True,True,0.0038524590163934425,0.08204516998369497,8690.371179021895,125.94740715269981,88.0936735674091
27,True,True,0.0035501048894626434,0.08122411987963406,10561.91541813314,158.1479347931842,572.4356980063021
27,True,True,0.0,0.08064990228214865,10287.654207088053,198.99958566141626,747.7034855401143
27,True,True,0.006128101995901951,0.08274342576232628,10978.505495004356,226.58167709596455,760.1347084855661
27,True,True,0.0,0.08118096066401936,12321.274311980233,316.58423485766565,1295.852683018893
27,True,True,0.0036194159353463234,0.08080002576115838,10849.910940043628,173.0563143667366,436.22497125761583
27,True,True,0.0,0.08256625484026854,9997.614714084193,148.7991836911533,160.44932200859947
27,True,True,0.003941304875090953,0.0814381105523614,11063.830370083451,205.3747097379528,929.7139020636678
27,True,True,0.007604472097070252,0.08213812950527108,7068.95941006951,136.00914799866993,838.0391574464738
27,True,True,0.0042594385285575995,0.08081560046287083,13243.290557991713,229.01534170378,2252.9475449118763
27,True,True,0.00856944337219177,0.08193555302109255,13255.701455986127,270.48804577336546,1991.4414519444108
27,True,True,0.0,0.08115089737477071,10433.745131129399,196.22867791137347,2659.729274921119
27,True,True,0.0,0.08056665789700115,9015.693919965997,177.33650664532823,2329.253726871684
27,True,True,0.0,0.08217136494646995,9896.506431046873,149.02274549240246,532.0953936316073
27,True,True,0.0,0.08263126165518062,11968.806109856814,210.06965927187017,510.94271102920175
27,True,True,0.0,0.08250462212609701,11219.19939504005,189.3055524605398,28.704370628111064
27,True,True,0.0,0.08145479917229784,12245.08152808994,249.04154669493437,1535.1779130287468
27,True,True,0.02334959874178328,0.08210859550608157,10062.57635820657,131.56833036459588,1046.1628994671628
27,True,True,0.0,0.08101589498732974,13381.203184835613,306.4314417424612,2363.6891818605363
27,True,True,0.00979821252247006,0.08074076048779796,10528.568944893777,259.2050368742396,493.44935500994325
27,True,True,0.0,0.08109707851157748,12499.29633596912,193.78168448262537,1359.179865103215
27,True,True,0.0,0.08202224660627382,10452.427221927792,189.44086845462712,1059.5548930577934
27,True,True,0.009744830620325561,0.082398974065164,10236.682089045644,176.72691934941602,1268.1602400261909
27,True,True,0.0,0.08186565052407484,9622.296780114993,139.6962235928239,413.2077788002789
27,True,True,0.0,0.07981713319828358,11254.974842071533,175.75846815348737,2559.712254209444
27,True,True,0.0,0.08199740254097868,11317.357807885855,195.6386633294945,2798.0199449229985
27,True,True,0.0,0.08025749554939235,11215.655582025647,256.47230143658817,825.1171255251393
27,True,True,0.0,0.08153435197062982,11504.784223856404,170.71825342385895,1060.8980149263516
27,True,True,0.0,0.07994314189882823,10846.349969971925,164.01513445501524,760.5822659873714
27,True,True,0.0003004069148209848,0.08081199037938769,8212.5360108912,165.40747752102715,2525.3168209455907
27,True,True,0.004010666204175429,0.0819537108516381,12479.566019959748,210.58952336368912,2469.316284870729
27,True,True,0.0,0.08329712834239296,9029.90080602467,149.10770682035945,651.4212966430932
27,True,True,0.0,0.08254011854224352,8940.237537957728,180.832845534986,1591.7440429329872
27,True,True,0.0,0.08338297401616099,12336.17383800447,182.4491136134244,612.4978472944349
27,True,True,0.0,0.08124483611695768,12330.424851970747,273.8815529996322,5309.766221093014
27,True,True,0.0,0.0825488615601342,13144.039185950533,229.68442731071264,273.33452557213604
27,True,True,0.0,0.08136125404410868,15065.538491820917,312.88414970705554,5942.265506833792
27,True,True,0.001875688729455347,0.08078826232731157,13533.363678026944,254.2787417769432,5258.446378866211
27,True,True,0.0059052093166202,0.08126223777151972,12851.743876002729,215.94442473724484,2923.675861908123
27,True,True,0.0,0.08142103750359501,8830.639090156183,188.95654768969578,9386.950477957726
27,True,True,0.03414871968797694,0.08244191899839412,14042.416671058163,302.866704238113,3726.0829771403223
27,True,True,0.006417593965209885,0.08200621477685215,11635.281653841957,196.57214965748912,1345.3576581086963
27,True,True,0.004570939632073135,0.08097670901670899,15244.187711039558,264.26956499926746,1469.1602978855371
27,True,True,0.005405007001940889,0.08115362950577033,10292.5602667965,180.91792185217713,2018.1446420028806
27,True,True,0.029114794842775668,0.08129071419040408,11684.15739107877,163.94429812207818,210.95467634343854
27,True,True,0.013916463403104732,0.08133860869484896,14284.610928036273,217.95262963595715,1038.8158620335162
27,True,True,0.00895830401951128,0.08081064863286244,10681.321521056816,157.16083526300886,165.61910129218762
27,True,True,0.0,0.08226401136138564,11904.945007059723,268.45954578473334,1486.4441768731922
27,True,True,0.00792092613905626,0.08109242832741136,11135.479223215953,193.13208209738755,609.6629969930897
27,True,True,0.004926219691320363,0.08130221068432955,12883.21876898408,314.3511559880738,1931.0788281727582
27,True,True,0.014363010329562224,0.08206444004120406,11230.18608102575,154.9763970542699,985.4561585234478
27,True,True,0.0,0.08233710810819804,8857.70401195623,148.57064026000444,708.4902847030511
27,True,True,0.016286858869114074,0.0813285708630687,14815.160165075213,246.7516388045624,865.5548919923604
27,True,True,0.003092500685836846,0.0818917333960857,12478.078942978755,250.34942001932197,370.2631576452404
27,True,True,0.03423481121364735,0.0827530821661763,10698.183524888009,203.72929309572405,518.0944236926734
27,True,True,0.01397166796233912,0.0821490716033263,12600.411280989647,210.27696346440774,1470.824443968013
27,True,True,0.0026842696321454983,0.08373553788972983,8687.179167987779,163.36114726339775,986.0563640249893
27,True,True,0.0,0.07985423814039617,9904.719275888056,198.9604264187316,607.7810489417365
27,True,True,0.0,0.08188275223300691,13935.190635966137,223.3644454655322,1817.807292100042
27,True,True,0.008334776049266688,0.08110711066854012,9707.704288884997,179.5116057798553,64.69229144277051
27,True,True,0.0,0.08081668282444242,8816.547499038279,166.74263053573668,219.0816388465464
27,True,True,0.0,0.08237050949108483,11894.456909969449,236.73457489348948,780.3796065272763
27,True,True,0.01140318739695915,0.08158880926484179,15340.876983013004,366.1717138408373,2081.2605780083686
