brutOK,tH,err,tDW,tBB,n,errH,tDC
True,0.08052642755537705,True,315.0144257316632,1420.4525749664754,27,0.002218770800976259,11072.603940032423
True,0.08153499319584191,True,206.77492391162863,2804.2788859456778,27,0.005431846827921493,9147.795045981184
True,0.08224689107173629,True,127.73839789932886,2456.6421930212528,27,0.0,7412.022382952273
True,0.07948318281648328,True,212.47163010676476,2510.4129910469055,27,0.0,8360.57212902233
True,0.08069448678445772,True,158.47465999734897,654.1353003121912,27,0.007815241315512457,7884.493605932221
True,0.08183773941125018,True,170.28734999309694,73.09227746813313,27,0.007237075675232816,9387.287450954318
True,0.08252184585376417,True,151.73447631241288,571.9136243375639,27,0.0,9124.813906149939
True,0.08190728911005808,True,224.6905959168957,312.50398620031774,27,0.0,8259.590031113476
True,0.08215943783593133,True,168.95656858105212,2350.3074049949646,27,0.03175398176900731,8795.445112045854
True,0.08061115364248912,True,212.86750445142388,364.5539692370221,27,0.0,11091.224856907502
True,0.08281104317059375,True,116.65029533296115,235.56424310016962,27,0.0,7628.633687039837
True,0.08158337327729494,True,196.9333718298003,84.51871931902133,27,0.016099191794605474,8400.409481022507
True,0.08355387031754512,True,139.95805081418334,194.94052710942924,27,0.0,7514.295370783657
True,0.08104509779048745,True,131.69707176792951,678.8151886624595,27,0.011633405845077082,7688.449706882238
True,0.08095039160449148,True,194.84394934261218,2206.4742781221867,27,0.0009652509652509653,8159.564653877169
True,0.08183845531095374,True,178.8543799999528,219.85253571931804,27,0.0,7313.727732980624
True,0.08160439151391616,True,253.93185798182256,1992.9974540136755,27,0.0007621951219512195,11270.05182695575
True,0.0819346493471914,True,232.42792701348662,1897.4319940898567,27,0.002723293888798833,10728.341604117304
True,0.08237424428177298,True,186.21282669930503,40.569450634968824,27,0.0,7635.008038021624
True,0.08176475932837707,True,187.79343337966844,278.3326798118651,27,0.0,8235.99135200493
True,0.0819389677456381,True,98.7160867266357,51.975087307038756,27,0.0,6803.397974930704
True,0.082131935885135,True,218.2096315293827,321.1327469907701,27,0.0,11419.961160048842
True,0.08109526650381951,True,171.6031636543838,143.79869963158853,27,0.0,9712.538040941581
True,0.07999210076021115,True,226.05495218356901,1584.5771038439125,27,0.0,7703.823429066688
True,0.0829582644988026,True,170.0928202896778,287.1531415148638,27,0.0,8053.269997937605
True,0.08230066688754188,True,177.8454395742821,1429.688120028004,27,0.005553659520337563,8633.27500387095
True,0.08114685987574229,True,216.67682635597885,3695.738379145041,27,0.016878660797837314,9865.56599708274
True,0.08064332952001683,True,167.3242790025792,1387.6365208998322,27,0.003996349790742314,7601.478712866083
True,0.08112352402199305,True,205.45167792200422,1484.6282401122153,27,0.0,10092.351558152586
True,0.0819218212272376,True,179.10822393157736,2185.885658953339,27,0.0,7627.8385650366545
True,0.0822140507073946,True,243.9153582090512,1265.9330151509494,27,0.019778138528138527,10546.804271871224
True,0.08152597220741252,True,237.1253001037985,4469.027865910903,27,0.0036301441586093757,7432.844894006848
True,0.08139682078737481,True,197.44785991497338,675.1547799600909,27,0.004208754208754209,10081.2274471391
True,0.0812176495212626,True,126.99027173221111,913.8170370133594,27,0.0007826475849731664,6709.782055113465
True,0.08300379541506812,True,156.00979744340293,142.8479164273345,27,0.006204205384464221,8536.712425062433
True,0.08160659690405342,True,204.00016326069212,1453.3713760320097,27,0.0,9334.42631107755
True,0.0821213302135186,True,151.61629275826272,911.9013749295846,27,0.01274262853756112,8244.358283933252
True,0.0815873195545822,True,230.57204650249332,693.1914839660749,27,0.0,10214.906662935391
True,0.08182156076023793,True,212.46176009828395,113.21793176466599,27,0.0,9576.682780170813
True,0.08252034839104441,True,167.48956850330745,236.36754154641596,27,0.004155730533683289,8233.30241208896
True,0.0807302385894067,True,143.33336188129203,328.9473900105804,27,0.009329748291165894,8922.454274958
True,0.08146693262866955,True,182.87845315913168,1336.7166330572218,27,0.02367188854847101,8751.682749018073
True,0.0826521515244492,True,146.3820064193843,172.82263457309455,27,0.0,9477.241785032675
True,0.08236033180906996,True,170.98391114268452,548.2014413767805,27,0.01938479396401625,8844.467267161235
True,0.08151365501259258,True,242.46214488521218,1658.1672169268131,27,0.0,9903.13637512736
True,0.08220696185291389,True,163.40763733411828,582.2162856347859,27,0.0003053350358074724,8781.319678993896
True,0.08223118847906795,True,234.26854419521987,533.2002736783276,27,0.0,9310.754626058042
True,0.08143020093820658,True,259.54536555541887,4366.456100018695,27,0.0,9860.267302021384
True,0.0812825513894738,True,203.85549042839557,768.9522149739787,27,0.00944023822346121,8991.991881048307
True,0.08041144338221028,True,208.8900362776423,8037.046316079795,27,0.015187310158623017,9081.309569068253
True,0.08113506547913552,True,233.9113990077749,71.42208700275256,27,0.0,10752.020999090746
True,0.08115758926545617,True,161.40116807073355,735.188314691186,27,0.0,6744.039409095421
True,0.07934637030451108,True,251.41267633686465,1024.2226790869609,27,0.0,10333.131162915379
True,0.08159888748688808,True,173.34503835133677,41.41595024848357,27,0.0,9505.614444147795
True,0.08269313912307343,True,298.38056449079886,101.06104014751811,27,0.0,15736.071962164715
