n,tBB,err,tDC,errH,tDW,tH,brutOK
27,1350.1566969789565,True,501.53828103793785,0.0018484288354898336,5794.485046993941,0.08373189068472466,True
27,495.5610237084329,True,474.6208523865789,0.012455516014234875,4568.932010093704,0.08513988126453172,True
27,1532.3439720086753,True,536.2855790299363,0.01217391304347826,6197.432840941474,0.08473213094151152,True
27,489.37489971285686,True,389.00703517720103,0.005226480836236934,4767.717748880386,0.0844424982209443,True
27,703.5125660089155,True,308.4675981372129,0.0,3885.422743158415,0.08369646252677442,True
27,345.73141869623214,True,291.08008588082157,0.0,3804.7640989534557,0.08420915999427865,True
27,911.7461669957265,True,401.7786126739035,0.008016032064128256,5076.061632949859,0.08343654641182649,True
27,603.9822625461966,True,538.5578752611764,0.0,7413.43448497355,0.08242144306736068,True
27,242.322598292958,True,573.8373672356829,0.010471204188481676,5963.676866143942,0.0843018329161359,True
27,915.630707051605,True,458.04960899986327,0.0,4556.932953884825,0.08522267325682985,True
27,3189.487918978557,True,377.3803469957784,0.0,5546.963850967586,0.0831214774283382,True
27,1108.3849375136197,True,365.1447639955829,0.0,4495.40983280167,0.08491485800663787,True
27,464.6411833819002,True,651.4603516552597,0.0,6822.710504988208,0.08427383093346309,True
27,347.33739541843534,True,470.063449209556,0.0,5132.455876097083,0.08446174368885803,True
27,142.72294000589423,True,502.529818424955,0.0,5469.427654985338,0.08479826511410153,True
27,702.0795290203145,True,321.6338465655489,0.003683241252302026,3950.8596598170698,0.08356671055690436,True
27,3028.0507130082697,True,408.5431343022113,0.0,4690.7792328856885,0.08361242937216555,True
27,2527.3226420395076,True,471.71283359639347,0.014893617021276596,5800.997070968151,0.08271552007848008,True
27,593.6652150315543,True,495.29880760237575,0.0,4553.601815132424,0.08341643817801049,True
27,255.16483560204506,True,451.4388562180102,0.0,5416.161581873894,0.08278133333153563,True
27,1768.0743669625372,True,473.69331303052604,0.023853211009174313,5217.682087095454,0.08333891289344696,True
27,83.18064795134381,True,459.3565981835127,0.024193548387096774,4451.550294179469,0.08326780665714219,True
27,365.2488241593043,True,360.0615678199877,0.011029411764705883,4577.906924067065,0.08318930089808828,True
27,165.29871945062447,True,385.28637134004384,0.0,3815.47033903189,0.08459425936131362,True
27,1406.7270760424435,True,271.3899705559015,0.0017761989342806395,3545.6881730351597,0.084394192418749,True
27,183.8544666982041,True,195.1306928337241,0.0,3586.53950993903,0.08380592624761675,True
27,2936.4689651411027,True,471.58573917113245,0.011494252873563218,6042.397799901664,0.08322906407372384,True
27,87.2637542287031,True,505.77199953841045,0.0034965034965034965,4613.286337815225,0.08571693889433792,True
27,521.2934186371664,True,497.9795565013774,0.006546644844517185,4981.052919989452,0.08465568299145382,True
27,1918.7461629044265,True,412.02295482313883,0.017006802721088437,4927.201665006578,0.08442158799360706,True
27,162.61716906835014,True,334.2789095560355,0.0038461538461538464,4432.1456050965935,0.08431518466955983,True
27,533.6328992852941,True,452.07871100865304,0.0,4922.167215961963,0.08378854286667495,True
27,869.7248760145158,True,463.5908526368439,0.0034423407917383822,5484.601456206292,0.08514173407725077,True
27,588.2761920026193,True,397.9288621727998,0.012522361359570662,4582.124803913757,0.08491210381165774,True
