tDW,brutOK,n,tDC,err,errH,tBB,tH
319.6877827202635,True,27,539.2280647647567,True,0.0,0.9976396528060593,0.08507141742349184
237.5455796951428,True,27,317.8109574198191,True,0.0,0.8324331483756567,0.08609409054506124
200.3787184949033,True,27,367.3165313278635,True,0.0,0.4187927847666148,0.08555129949913513
235.80776469316334,True,27,475.42327363044024,True,0.0014245014245014246,0.9091406747690239,0.08525904952081427
317.50050084000185,True,27,562.7911762567237,True,0.0,0.47509687037063136,0.08567280054726205
193.10376474944255,True,27,293.3298741118051,True,0.0,0.3120589388640123,0.08600533775481228
174.3504510626995,True,27,401.30627000083524,True,0.007598784194528876,0.833552412096849,0.08647769886102875
216.42605062912813,True,27,449.38419559039176,True,0.0,0.23397228529977943,0.08603568727577357
246.4046844979748,True,27,434.2128618154675,True,0.0,0.5558513324407007,0.08603362898924424
307.04517901176587,True,27,692.6863276554892,True,0.0,0.39706551515164895,0.08634400418392159
275.4655117460061,True,27,486.6757058072835,True,0.0,0.4301622592333787,0.0857786953564902
335.23003071812644,True,27,588.9103580266237,True,0.0,1.5798119542258902,0.08606534993892706
237.94111458119005,True,27,426.1876250151545,True,0.0,0.24174862554770163,0.08589144247803336
362.94441782714176,True,27,466.67000162415206,True,0.005309734513274336,1.8649883631556092,0.08551133993897274
301.4194021234289,True,27,512.6492487615906,True,0.0,0.21824123780026253,0.0861519293877073
335.0340708691095,True,27,613.2450730074197,True,0.0,1.4154106756258342,0.08530075876243835
369.21433499082923,True,27,712.7695426655313,True,0.0,0.9047901073640967,0.08604037424492057
246.1239084135741,True,27,501.43654324347153,True,0.0,0.4794178514717628,0.08625193266501863
366.98410531971604,True,27,557.4901682557538,True,0.0,1.0178344184324981,0.08625369778424029
406.7257741698995,True,27,613.0426774616353,True,0.002805049088359046,2.3390436416891256,0.08523363668838532
348.7752598510789,True,27,465.0848547928035,True,0.0,1.2360905443387422,0.08523008578848289
351.76512612296,True,27,536.6450845031068,True,0.0,0.9680542212720058,0.08590428218157918
