brutOK,errH,tDW,tBB,tDC,tH,n,err
True,0.0,1427.734767086804,2476.028102217242,493.2711775880307,0.08373577787173232,27,True
True,0.0,876.0921165812761,401.03251319378614,258.09588443694844,0.08463075183302955,27,True
True,0.0,1176.7593879485503,293.9831004012376,648.163863302519,0.08358785096954402,27,True
True,0.0057361376673040155,879.649730050005,691.9529403094202,391.70202414970845,0.08359861355615424,27,True
True,0.0,1407.622499158606,30.991640437961273,420.63942537643015,0.08381449535299057,27,True
True,0.0,1216.9845750322565,136.54561756577874,465.9420364070684,0.08361551242538603,27,True
True,0.018633540372670808,1148.6541019985452,536.8974406737834,373.4641226862247,0.08410953360533406,27,True
True,0.0,957.4735284550115,147.0112029928714,595.7959520164877,0.08343744128285993,27,True
True,0.01726844583987441,743.8738296429316,409.7687332541682,361.53042448374134,0.08525760291636042,27,True
True,0.0,1196.3208599481732,1589.2803480383009,490.80526060424745,0.0837539704015333,27,True
True,0.009398496240601503,969.6189825190231,2395.774851087481,401.86960230736685,0.08414707842684788,27,True
True,0.0,554.5205222442746,304.7550809860695,268.84791500762935,0.08511772294917332,27,True
True,0.0,793.7727749813348,846.6816815780476,306.3202254998032,0.08223492202183444,27,True
True,0.008620689655172414,1110.6798170367256,782.8046334907413,357.24883518802625,0.08258096048853253,27,True
True,0.0,1020.8430124912411,174.67641417169943,424.06947161071,0.08376887641794062,27,True
True,0.008787346221441126,722.2742663385967,270.4891002504155,436.58059858717024,0.08512109156676836,27,True
True,0.0,1431.3872519414872,568.6373399803415,440.1663513854146,0.08474683807576017,27,True
True,0.01016260162601626,996.8908154405653,129.4908237011571,363.0284184667592,0.08428465327828784,27,True
True,0.0017543859649122807,1010.631798999384,377.7630759868771,353.15117027078355,0.08332818505581557,27,True
True,0.008183306055646482,857.9051030101255,97.96012307827671,356.57216598545864,0.08323229644305793,27,True
True,0.007766990291262136,1110.1752229733393,6956.619734177366,443.4074806049466,0.08319643757429841,27,True
True,0.00865051903114187,1036.2839290173724,362.3681605095044,385.0246468015636,0.08327781461471404,27,True
True,0.0016286644951140066,1231.7436824087054,643.9476813344905,547.2154234885238,0.08424277524450473,27,True
True,0.0,1396.093609975651,2707.549179904163,490.8029076177627,0.08494785447974229,27,True
True,0.0,1106.1757415300235,367.0017957338132,422.2516553942114,0.08452484077872577,27,True
True,0.00546448087431694,1167.2864705324173,1661.1046129837632,512.8380667301826,0.08332155461064283,27,True
True,0.008944543828264758,995.2847105450928,180.02774421539573,524.4937330135144,0.08548536357947358,27,True
True,0.00676818950930626,705.1417183441421,158.11862361151725,273.9869095643775,0.08404146754305418,27,True
True,0.005535055350553505,1626.4413718599826,1525.8049189578742,630.1736436629047,0.08350735976528674,27,True
True,0.0,1011.0125504434109,787.04166947864,419.26585640758276,0.08472688502662609,27,True
True,0.0,892.555326456204,318.55298834852874,428.1029798090458,0.08545722022033961,27,True
True,0.012152777777777778,980.5463284719735,813.3396860212088,391.88363767849904,0.08416495089017209,27,True
True,0.0,874.0535159595311,734.6394594060257,329.4048488273152,0.08251523532349823,27,True
True,0.0034904013961605585,1104.1449839249253,2895.7256239373237,432.7477615792304,0.08393496910267347,27,True
True,0.014802631578947368,784.0942086962363,24.066027359698307,450.5719827953726,0.08627248864949504,27,True
True,0.0,827.4409863321731,346.06510517187417,296.2599594902713,0.08356606376288239,27,True
True,0.0,914.3397435545921,2393.1287911254913,417.8480075672269,0.08300551491234974,27,True
True,0.009191176470588236,1153.6440850468352,218.8922599889338,431.33993218652904,0.08271134065868731,27,True
True,0.0,1013.4284789673984,438.73008276568726,346.6296822963549,0.08280480430687896,27,True
True,0.0,963.7681730091572,44.57678009445468,425.9108881931752,0.08453655335516233,27,True
True,0.005338078291814947,1374.6791428420693,832.918951404281,527.7552654733881,0.08362457996461425,27,True
True,0.013333333333333334,1651.7272489145398,1275.214176857844,448.83475862443447,0.08433412458535752,27,True
True,0.0,1152.9867749195546,1042.3469020752236,428.5707490053028,0.08502807267486848,27,True
True,0.0,1217.659837915562,1778.755821986124,531.6460882895626,0.08209123459764033,27,True
True,0.0038461538461538464,840.5516624916345,156.20533716476834,344.430780703468,0.0843191390040829,27,True
True,0.0,1303.6777989473194,214.3029237299093,426.15210679359734,0.08139812621026374,27,True
True,0.0,829.3168963864446,247.6839425507933,295.7480532641057,0.08436227585405223,27,True
True,0.0,774.5073623179147,580.0072147200505,363.21779697512585,0.0845323677922621,27,True
True,0.0,1312.2026049531996,1312.9210460465401,595.8577360142954,0.08397725997193412,27,True
True,0.0,1058.637393056415,3237.932223128155,409.66439883535105,0.08223619002275126,27,True
True,0.01557632398753894,784.080206338937,653.251243988052,527.9387202463113,0.08588923194805162,27,True
True,0.03762376237623762,1271.3301591575146,1878.471682080999,480.4485213942826,0.08527212414281844,27,True
True,0.010771992818671455,1003.8507609860972,3416.1443810444325,346.3228148341711,0.08265388602164091,27,True
True,0.0,1047.8161399951205,868.4236365370452,326.0609055536666,0.08265724908495481,27,True
True,0.0,836.2846594536677,1601.9600038416684,357.9070471626307,0.0835579933591883,27,True
True,0.0,1133.8082939619198,1642.3917489591986,377.4035025077562,0.08264660999254493,27,True
True,0.003418803418803419,1130.9303120942786,271.3303011509457,507.69416947150603,0.08545133556234973,27,True
True,0.0,1089.980561984703,485.69445475004613,330.73284457038557,0.08307760058500671,27,True
True,0.0,973.8451259909198,77.00948227041711,348.4281515702605,0.08177333700014605,27,True
True,0.0,983.2914025755599,233.45996617960432,564.9760497617535,0.08432464826381804,27,True
True,0.0016474464579901153,805.9906486887485,371.36619064646464,377.0562569843605,0.08359377650145505,27,True
True,0.0,880.7338420301676,438.1583877839148,447.8864151984453,0.08428868468659598,27,True
True,0.0,1135.6827709823847,267.3005726188421,481.4757934305817,0.08375582120602662,27,True
True,0.016563146997929608,1476.6733369324356,1984.0423110872507,387.0484329915295,0.08314060666829855,27,True
True,0.0,1595.416713040322,474.9025096340726,489.19419879093766,0.08330359910938519,27,True
