errH,tDW,tDC,err,tBB,tH,n,brutOK
0.0,325.231791070352,482.3561314959079,True,202.10835922302473,0.08209265681501306,27,True
0.013539651837524178,382.2260372376499,470.7921823952347,True,5906.967255985364,0.08099610682691297,27,True
0.0,206.90093254476474,383.1613372939711,True,1244.2285536477964,0.08289409541286266,27,True
0.0,196.8429921194911,307.9700689413585,True,443.28001878845197,0.08143267089459932,27,True
0.0,228.3289595285342,434.7632322672077,True,530.8014465961605,0.0821490656507093,27,True
0.0,201.72667908870304,318.2147865338872,True,2037.0981144951656,0.0824214729344076,27,True
0.0,261.71056188544947,419.14240673015064,True,1993.6176360351965,0.08036425061979369,27,True
0.0,222.0409687248651,529.1365231128616,True,214.04630809556693,0.08218664387004908,27,True
0.0,290.6105034190285,355.5546128523669,True,799.1220934782177,0.08238519157518119,27,True
0.0,220.77809903897682,377.95309152883976,True,929.395304992795,0.08236716655704769,27,True
0.0,183.70203807501605,382.20906461803963,True,1420.7202463100355,0.08261145830944493,27,True
0.003395585738539898,218.417866949246,571.1099473701324,True,706.3433322473429,0.08196880875971062,27,True
0.0,322.1132722528031,531.712295797964,True,798.1614023447037,0.0827732414769655,27,True
0.0,221.66729231619024,404.33296574822936,True,1529.2137685464695,0.08278611223144593,27,True
0.0,263.77252944641646,480.1806358154863,True,4332.094960147515,0.08310571097284768,27,True
0.005545286506469501,213.10224695860043,350.1402820693329,True,1559.1564954956993,0.08089017454681091,27,True
0.0,235.15709684718223,430.7327896398915,True,306.65392385396575,0.08172731490878535,27,True
0.0,260.08364294753653,470.78464310616255,True,1415.6290900427848,0.08195904530201031,27,True
0.0016863406408094434,269.33881050596636,552.2115382158922,True,1407.3109085438773,0.0833957792426034,27,True
0.0,256.8412252677311,413.482640326644,True,1451.4989445451647,0.08094056412199428,27,True
0.011494252873563218,305.0732926931232,479.79782230686396,True,267.5958097388502,0.08182669742803483,27,True
0.006756756756756757,213.70397395778284,502.27179432598257,True,5948.74663813971,0.08211553439229595,27,True
0.00945179584120983,253.16315825636448,380.62672952834805,True,254.79291608401883,0.08146930848071271,27,True
0.005870841487279843,196.35592684149742,372.85872484342406,True,3200.265007093549,0.08144565582840747,27,True
0.0,123.90314722433686,240.42051524156705,True,668.8821729815876,0.08263648721670966,27,True
0.002109704641350211,283.76389623564836,521.5301604475826,True,6034.346411935985,0.0810321825774997,27,True
0.015410958904109588,290.16529759118225,473.63472199067473,True,652.008374047,0.08184695913171246,27,True
