n,err,tDW,tH,errH,brutOK,tDC,tBB
27,True,4362.650864990428,0.08218761160012493,0.0,True,459.95036279782653,774.6514285681769
27,True,2833.4787499625236,0.08388626490145934,0.01517706576728499,True,444.30937664583325,220.0892564918225
27,True,5026.769897900522,0.08229127404105409,0.0,True,630.4765846580267,286.154145685335
27,True,2513.15886201337,0.08235175421634047,0.018739352640545145,True,261.53828232135214,712.9420020307103
27,True,2920.4657229129225,0.08378418972178629,0.006493506493506494,True,373.60204899838817,1926.0348069947213
27,True,3143.7712858896703,0.08324988591301676,0.005291005291005291,True,377.8548074963813,122.69894365842143
27,True,4160.538146039471,0.08226473881008664,0.0,True,496.551028592512,2252.9514520429075
27,True,3055.117698153481,0.08293361574702954,0.0,True,400.91596050964046,65.9332087000265
27,True,3519.6693101897836,0.08257730818381262,0.0,True,451.20418537408113,257.2949950117618
27,True,4052.6315288152546,0.08237311694975631,0.0016286644951140066,True,469.9303502216935,90.60666500590742
27,True,3947.6377971004695,0.08098025351987272,0.0,True,393.46157332571846,2055.157191120088
27,True,2806.3808139413595,0.0831985783431189,0.0,True,301.68191937264055,305.1252218428999
27,True,4243.747948901728,0.08165685872016525,0.0,True,410.2838634668539,1569.6376450359821
27,True,4574.819293105975,0.08243269064647339,0.02348993288590604,True,462.2330076061189,2426.980769028887
27,True,5000.369888963178,0.08104277895385757,0.003952569169960474,True,432.9393736086786,8747.025405056775
27,True,2340.7276330981404,0.08404488485320072,0.028268551236749116,True,324.4445737052177,184.23758138140494
27,True,4176.956763956696,0.08190087999018345,0.0,True,468.8463108148426,1785.7065580319613
27,True,3429.4007709249854,0.08292092597903729,0.0,True,393.7122568410511,849.2926730541512
27,True,3517.545711947605,0.0833529373584893,0.011194029850746268,True,514.1081062029116,103.6075054305709
27,True,3424.81220792979,0.08330240694551946,0.0,True,398.43395398929715,87.2047519563542
27,True,2938.9439881779253,0.08349199099063347,0.0,True,370.18996267579496,941.6652389336377
27,True,3055.908248061314,0.08257937000112368,0.0,True,347.3778722940811,158.98208149398366
27,True,4640.252302866429,0.08248388478979697,0.022388059701492536,True,465.13536223210394,2326.50657184422
27,True,4650.208080885932,0.08063826406462778,0.0,True,373.77135816495866,2378.8615190424025
27,True,3783.135461853817,0.08073900355881142,0.0,True,433.75668339431286,1980.973188066855
27,True,2814.957446884364,0.08348231451143161,0.006993006993006993,True,331.02118988920535,583.7695352577915
27,True,4357.359098037705,0.08237733526989091,0.0017543859649122807,True,504.36791323591024,3710.9951719176024
27,True,3370.405788999051,0.08319133604140728,0.01568627450980392,True,388.8907213307296,1778.0240969732404
27,True,4410.707394126803,0.08085080398336131,0.0,True,407.16189918263507,1575.3533658571541
27,True,3206.3516119960696,0.08365138442583282,0.0017889087656529517,True,460.0364536046982,873.9680785220116
27,True,2896.658764919266,0.0841864579364402,0.0030581039755351682,True,314.5748831198684,427.5660819839686
27,True,3135.182363912463,0.08288225090718303,0.0,True,407.02676369498175,183.35707343390416
27,True,3729.512627935037,0.08286989252283153,0.0,True,400.047172831061,931.516389013268
27,True,2930.1646878011525,0.08345368434600205,0.0,True,345.4762200292732,444.19691301882267
27,True,3003.153558121994,0.08424640256207669,0.0,True,437.03180542215705,90.17866115318611
27,True,3735.8827150892466,0.08197843815764395,0.010660980810234541,True,431.2969677615911,199.67782642278405
27,True,3159.298530081287,0.08332372708231074,0.0,True,342.85514798414493,237.75689676404
27,True,4736.893035005778,0.08251051740771986,0.0125,True,428.1196105759591,5524.96428694576
27,True,4420.654552057385,0.08236919440003751,0.0,True,421.1166284047067,1380.9724731836468
27,True,2901.1716570239514,0.08251235889559591,0.0,True,405.31428666630137,163.152419263497
