n,errH,tDW,err,tBB,tDC,brutOK,tH
27,0.0034423407917383822,14133.429061155766,True,162.38439342539226,589.8249014862813,True,0.08279179746161675
27,0.0,11739.076959900558,True,446.2251253426075,457.08972476422787,True,0.0842298527351061
27,0.0,16805.376917822286,True,222.41505124839023,694.6999273107698,True,0.08341654550977785
27,0.012433392539964476,9837.406875099987,True,1428.5503961145878,276.9222872383479,True,0.08260356252772581
27,0.001589825119236884,12758.41121491976,True,628.4492909908295,420.74090759269893,True,0.08266066667551951
27,0.0,9155.867202905938,True,197.31149449944496,373.4827866622557,True,0.0844966981067991
27,0.0,12400.6963071879,True,204.70342013452733,649.5572259494414,True,0.08437691368272258
27,0.0,11078.89991113916,True,98.20934031449724,363.82601169558865,True,0.08316219803083127
27,0.011608623548922056,11547.42099205032,True,551.3637472759001,309.12202011677437,True,0.08386989561275678
27,0.001841620626151013,12686.667372938246,True,1040.6651549274102,460.5254791676998,True,0.08348780734071279
27,0.012219959266802444,13971.752335084602,True,1841.1545359995216,333.2619359716773,True,0.08128377080929002
27,0.0,13734.088125173002,True,298.26696030795574,671.0521273780614,True,0.0840503174546269
27,0.0,13677.836902905256,True,907.1787495631725,409.4745768234134,True,0.08234892882413097
27,0.0,14473.132098093629,True,279.7370887827128,543.7274934956804,True,0.08331775317193649
27,0.008503401360544218,12343.391701113433,True,1752.249567070976,545.3227372490801,True,0.08437487109738692
27,0.0,11358.75026602298,True,199.78309851139784,416.53731267433614,True,0.08271339915824293
27,0.017408123791102514,11132.706123869866,True,559.6002410165966,337.3304086936904,True,0.08453497136995637
27,0.0,12023.756589973345,True,105.0724361040112,698.5312059987336,True,0.08516244446085605
27,0.0016891891891891893,10187.201552093029,True,143.08391717107347,373.98124299943447,True,0.08513869186201062
27,0.009569377990430622,13378.485596040264,True,1370.3131128568202,504.2477717506699,True,0.0835274928863913
27,0.0,9961.48789813742,True,49.31235091062263,386.6871216644843,True,0.08577834192072183
27,0.022727272727272728,9142.28918007575,True,215.09193543655178,401.0132463105644,True,0.08425925953598322
27,0.0,14407.979901880026,True,673.9597084233537,504.483180004172,True,0.08273635902721192
27,0.004629629629629629,10916.744920192286,True,399.15951900184155,423.8238853868097,True,0.08405748633343281
27,0.011152416356877323,15769.93146399036,True,1905.1058748736978,493.0999968200922,True,0.08216312718239034
27,0.0,15378.723873058334,True,1565.5789328739047,493.77725976519287,True,0.08228656182869788
27,0.010067114093959731,13566.676452988759,True,445.6379647599533,483.1662524025887,True,0.08441349862219054
27,0.04572564612326044,11908.479887992144,True,2180.2819380536675,404.708393306161,True,0.08511424112867991
27,0.0034662045060658577,10306.912244996056,True,997.6739954436198,354.1799354300435,True,0.0852115290855151
27,0.005660377358490566,15087.247374933213,True,1690.612694947049,496.199405612424,True,0.08333163561748667
27,0.0,12342.776047065854,True,856.3148195389658,399.5771761595582,True,0.08420480473176158
27,0.01092896174863388,15138.487468007952,True,1334.284967975691,563.346458482556,True,0.083182430683961
27,0.0,10801.851643016562,True,81.18555361691577,415.5351365140329,True,0.08355645933190523
27,0.0,10193.004532018676,True,173.51077257522516,402.29967030851793,True,0.08258134213443699
27,0.019083969465648856,9628.293032990769,True,1185.260972008109,328.5649425815791,True,0.08242462128709908
27,0.006437768240343348,11407.30895102024,True,1034.2398959910497,260.63516746378605,True,0.08152171059308269
27,0.0,9989.133200841025,True,1414.5615720190108,306.2398921174463,True,0.0841078868793518
27,0.0,13129.564033122733,True,2973.1522030197084,403.8187381423389,True,0.08316738801044643
27,0.0074487895716946,12249.096839921549,True,1372.3192629404366,412.70080868465203,True,0.08355164234600344
27,0.011152416356877323,10947.956698946655,True,312.8205388451793,287.38174939644523,True,0.08328675047470047
27,0.0,13653.184696799144,True,243.51816123817116,462.79318761080503,True,0.08408622294378451
27,0.0021929824561403508,13410.27455800213,True,346.3381206151098,389.4394498396044,True,0.08237840665092394
27,0.00641025641025641,9312.106142984703,True,1255.0985699053854,311.16902112262323,True,0.08430902113809828
27,0.0017391304347826088,10937.782855005935,True,437.6147559378296,504.9369784537703,True,0.0840425188268117
27,0.008237232289950576,12695.438195951283,True,835.210170596838,523.9908749936149,True,0.08517527057595867
27,0.0,11535.964149981737,True,21.71777510084212,397.8620960066716,True,0.08329807073650274
27,0.0,14260.317377047613,True,290.7718698028475,552.6082587311976,True,0.08359908560182822
27,0.0,10292.197366943583,True,1083.4420645842329,273.76116331045824,True,0.08326421449238575
27,0.0035149384885764497,14234.956433065236,True,703.7603214848787,558.4695292636752,True,0.08375900646910898
27,0.0,15067.111410899088,True,2261.928593972698,681.5590623300523,True,0.08326492551261927
27,0.015904572564612324,12640.384428203106,True,1382.669084938243,465.04480643197894,True,0.08307029922671033
27,0.0,14067.602786934003,True,3289.89618178457,427.6655451860279,True,0.08299919931919565
27,0.0,13981.241567060351,True,168.21030359715223,527.170087036211,True,0.08286057481475878
27,0.0,10217.27504208684,True,97.95933710928593,337.5447059848479,True,0.08261249530785071
27,0.0137524557956778,11311.445716070011,True,839.801893918775,417.7154337987304,True,0.08338270122153894
27,0.005671077504725898,10628.24053899385,True,4226.217133924365,294.19397248420864,True,0.08253012575467714
27,0.012121212121212121,13918.795115081593,True,1740.670439088717,401.3675341460233,True,0.08237001796230875
27,0.0,16622.834032867104,True,1755.9539049398154,523.1019424973056,True,0.08505634218142731
27,0.025039123630672927,10686.821313109249,True,393.20482057519257,333.85120987493013,True,0.08543055762358838
27,0.0,12599.530760198832,True,15.372364836048733,520.6505322712474,True,0.08334296723697891
27,0.0,12031.60712402314,True,312.61562649160624,607.2736305068247,True,0.08432893468315457
27,0.0,12344.418660039082,True,373.6668153045078,651.2952533861002,True,0.08389974927774355
27,0.0016207455429497568,11205.83071699366,True,544.8989452949414,389.6976514952257,True,0.08467813128909968
27,0.008264462809917356,12661.447371123359,True,1282.143518095836,354.33489400228217,True,0.0818994803688465
27,0.0,16105.259551899508,True,194.67710501824817,584.7600707784295,True,0.0835378309874976
27,0.010362694300518135,13118.656330974773,True,1254.3531798291951,471.037587383762,True,0.08313151770047778
27,0.0081799591002045,13818.857977865264,True,2180.3319838363677,403.78009516280144,True,0.08354159221307295
27,0.0,12165.932408999652,True,2386.3722970709205,367.914278487054,True,0.08380381057355835
27,0.0,14685.981969814748,True,266.7401589985405,457.8548538032919,True,0.08312778675378217
27,0.0,8919.974053045735,True,160.46987534112608,340.7532293016889,True,0.08553914058177227
27,0.00333889816360601,14874.562798067927,True,8137.024695053697,445.94387020915747,True,0.08359147134302002
27,0.0,10219.410825055093,True,66.20626187262437,565.318361739628,True,0.08340467154471895
27,0.0,15681.93480395712,True,6525.51654400304,674.2881113508096,True,0.08452277178951732
27,0.01841620626151013,10395.601990865543,True,1088.7059255037457,370.3705856654172,True,0.08419290183913984
27,0.03197158081705151,12918.593761045486,True,399.5684258174151,453.7778589874506,True,0.08442672986363102
27,0.001697792869269949,14596.443179063499,True,706.2260454986244,534.3271804740652,True,0.08421699194230818
27,0.0,12418.948709964752,True,408.9273277204484,507.58543773554265,True,0.0839576930401279
27,0.01876172607879925,14902.112358016893,True,239.86640776274726,546.9799552229233,True,0.08517071821342079
27,0.0,11621.8729079701,True,334.46904197335243,407.38476417027414,True,0.08368562675336282
27,0.0033222591362126247,11914.649062091485,True,113.06330165825784,455.46417818404734,True,0.08548373038541335
27,0.0,13704.097795998678,True,243.21122700348496,382.03659432474524,True,0.08276592652154487
27,0.01549053356282272,13839.458927046508,True,2576.1189309414476,506.1314334743656,True,0.08291294262024161
27,0.0,12518.612620187923,True,285.852218803484,471.5305698104203,True,0.08303164193544281
27,0.0,10570.488597033545,True,169.23740450292826,403.1735478201881,True,0.0833117134753302
27,0.0037105751391465678,8154.654270969331,True,173.18541349377483,298.6338721239008,True,0.08274539742392903
27,0.005208333333333333,10782.806262839586,True,3665.237136883661,285.53491772618145,True,0.08243729984661376
27,0.018306636155606407,11215.015991125256,True,373.3161317650229,344.4177001115999,True,0.0839961249111552
27,0.0,10891.306108795106,True,615.231849020347,280.2933372440748,True,0.082356702206431
27,0.0,15440.872400067747,True,438.6709933169186,563.2234227377921,True,0.08367060947568095
27,0.009242144177449169,9373.789028031752,True,98.55040247716448,314.6252305845597,True,0.08481866668265792
27,0.0,10821.533020120114,True,512.5213516099999,517.2926672385074,True,0.08356753579502813
27,0.007058823529411765,11175.40320311673,True,131.82467137812637,323.1530728350793,True,0.08354888989326135
27,0.030560271646859084,13520.932106068358,True,1424.0505991037935,581.4528110204265,True,0.08573535453913857
27,0.005964214711729622,12025.30581317842,True,1888.4346089325845,353.0460130090692,True,0.0830669783354365
27,0.02145214521452145,19198.087596101686,True,5252.9780878685415,607.3901979834773,True,0.08285292065421315
27,0.0,10556.76841805689,True,139.36595313134603,409.0233095145474,True,0.08444695890439773
27,0.0,13257.556220982224,True,341.520873325256,547.9687324841507,True,0.08307036666535486
27,0.0019267822736030828,15245.626083109528,True,802.1335020894185,467.80457720160484,True,0.08320209394569486
27,0.005791505791505791,14803.879732033238,True,3406.607560114935,515.1846334920265,True,0.08308857739335389
27,0.0,12333.251749863848,True,577.8314280323684,400.3380984844019,True,0.08345915011784646
