tH,err,tBB,tDC,n,errH,tDW,brutOK
0.08066777786981928,True,659.9153057073376,477.2785030072555,27,0.006420545746388443,132.26816935364056,True
0.079177845572238,True,5139.4548690877855,454.5185990165919,27,0.002012072434607646,220.38505122658202,True
0.08036971158720874,True,693.6143145042782,385.47868058473495,27,0.011784511784511785,132.64608473164608,True
0.07999747946936214,True,1174.337496360143,296.5326001867652,27,0.0,89.52885534275661,True
0.08048498240716985,True,453.1285837292671,548.7382311063508,27,0.0,141.87014645763807,True
0.07884379466651166,True,9257.442603819072,637.4709414251681,27,0.0,252.1286263669792,True
0.07995167077087331,True,388.2072573654692,348.21503779052625,27,0.0038240917782026767,150.59430172638685,True
0.08092459074214196,True,2719.6037641260773,394.32714000577107,27,0.0016233766233766235,129.46191884724325,True
0.07994244367802057,True,112.92486562659698,348.0225582939706,27,0.0056179775280898875,163.28918746827793,True
0.0797143201315568,True,1384.2749879695475,300.43370637577027,27,0.0,161.6373541314275,True
0.08107446718261911,True,188.04814320939937,326.9281944104781,27,0.0,114.82292581566197,True
0.07928166591351474,True,6729.9443951342255,209.87142799624607,27,0.0,80.66710295350921,True
0.07944974435765438,True,957.8226942685433,433.34767527200955,27,0.0,121.78738624788821,True
0.08031316056883307,True,91.19582810887584,294.6864298864966,27,0.023391812865497075,149.867341910122,True
0.08010315845739671,True,1153.0876831966452,252.18751394238907,27,0.0,96.68563211829785,True
0.0801728045882655,True,244.10745924493918,372.5610699934455,27,0.005319148936170213,113.10879629507492,True
0.08007741928175903,True,2279.495981405489,313.6483478670319,27,0.0,145.50962620277835,True
0.08024129001814005,True,560.2498827502131,346.20168736936256,27,0.008976660682226212,121.71671624159123,True
0.08080255494867267,True,304.8341942818037,293.35261923808827,27,0.0,116.94835687965333,True
0.08006616385522433,True,385.581565167134,299.5160205027787,27,0.0057692307692307696,115.9744598837786,True
0.0801241067942319,True,65.95021088141948,323.7433471251279,27,0.0,134.74877513441686,True
0.08031095778266394,True,543.9235825033393,270.41283599101007,27,0.01466275659824047,116.93109189980619,True
