brutOK,errH,err,n,tBB,tH,tDC,tDW
True,0.0,True,27,2682.575464947149,0.0834693346749178,491.5205577854067,728.6951549661657
True,0.004672897196261682,True,27,925.3397095017135,0.08315701740190182,317.1068195785795,577.8975829598494
True,0.0,True,27,267.63776200823486,0.08350024471282484,473.40608639642596,662.3387486518671
True,0.012433392539964476,True,27,184.32301084976643,0.08408645180986069,478.2071026042104,679.9018133121232
True,0.0,True,27,52.52372354946353,0.0841971096360842,462.00060336850584,543.6523602693342
True,0.009560229445506692,True,27,1702.2303298581392,0.08214626885563268,511.9534852565266,843.2930749841034
True,0.0,True,27,2997.536977985874,0.08527603972368779,762.2788323399922,935.0230185082182
True,0.011235955056179775,True,27,699.0455305203795,0.08419143486669282,618.1010172585957,584.1532765189186
True,0.005263157894736842,True,27,1248.991700122133,0.08445495041607307,353.44807228206525,543.6919407802634
True,0.004608294930875576,True,27,41.206552141249695,0.08429198833850994,465.0005426257849,474.748930381611
True,0.0,True,27,2333.625999977812,0.08241808776912868,434.99858481809497,748.6904230124006
True,0.0,True,27,590.607192988197,0.08298815212453191,294.65231724316254,504.6009072684683
True,0.04152249134948097,True,27,184.72121992487124,0.08478646195614374,280.9911160147749,411.50566015858203
True,0.001736111111111111,True,27,6321.555687114596,0.08455991495865098,754.5974906533957,1010.555267566815
True,0.014423076923076924,True,27,657.0752479601651,0.08366848420892907,365.6044296609859,480.09684439748526
True,0.0,True,27,1602.9457049444318,0.08261500569094811,309.2190913739614,431.2319742050022
True,0.002109704641350211,True,27,6449.622255982831,0.08339683834791699,353.341984828668,592.0112440362573
True,0.0037593984962406013,True,27,207.80407981947064,0.08404618276878707,434.4369625672698,717.7919530464957
True,0.014787430683918669,True,27,2917.006265837699,0.08430350334657787,334.4766200254006,493.6380728147924
True,0.0,True,27,36.0790051248235,0.0832677775669892,520.7587017212063,742.3916923968742
True,0.0,True,27,4280.803838046268,0.08235665828844281,409.04372464865446,587.3569145333022
True,0.020654044750430294,True,27,1390.688210958615,0.08352988919879854,502.2777308244258,584.444958018139
True,0.0033277870216306157,True,27,218.88524686801247,0.0853020606794017,325.79023657100544,463.3201887831092
True,0.0,True,27,260.22823550738394,0.08348563190433948,434.9150269757956,548.3215084532276
True,0.01073345259391771,True,27,4198.308272054419,0.08223952248563358,372.52016466421384,557.4541527312249
True,0.0,True,27,4831.958570051938,0.08328707904254681,420.12925799936056,543.1921834824607
True,0.005119453924914676,True,27,861.5782270208001,0.08423254520601389,474.6768251992762,550.2671655267477
True,0.0,True,27,5343.338472070172,0.08087212878782533,449.3008518125862,714.1211183431247
True,0.005597014925373134,True,27,2419.370546936989,0.08246284547016766,333.0674579899226,577.6797827566043
True,0.0109375,True,27,327.59600498580505,0.08428957092541843,324.09756670572926,444.4177323952317
True,0.004942339373970346,True,27,612.6969219961514,0.08395855085535132,525.9434419567697,617.206787748728
True,0.008431703204047217,True,27,958.1015656003729,0.0836649015735026,385.1468244877954,512.7912220195867
True,0.013539651837524178,True,27,209.5224369841162,0.08367300065735857,426.8131173681468,684.3773286479214
True,0.0,True,27,49.22532983279477,0.08345248979038457,401.1525158615162,674.1246859698246
True,0.0019880715705765406,True,27,3860.272205201909,0.08252507552375671,413.055662647821,771.382073018079
True,0.02333931777378815,True,27,4141.23349590227,0.08427584874555395,511.50114700431004,763.2392106267313
True,0.0,True,27,1141.4176509715617,0.08428009446686908,288.30447525251657,390.51964366808534
True,0.0,True,27,329.1575049981475,0.08219487682967627,294.5910743728746,449.83028997667134
True,0.003861003861003861,True,27,230.73390347417444,0.08369397430176492,383.75521447354305,528.9043024531566
True,0.0,True,27,2901.24278399162,0.08196610791901172,372.9165139763306,729.3446057010442
True,0.0,True,27,994.0873244777322,0.08457746910329844,408.5388531675562,626.5222473690907
True,0.0,True,27,568.5468106530607,0.08474294351874666,442.70556098781526,695.1116759640475
True,0.024778761061946902,True,27,3038.9057910069823,0.08378648936284186,343.05648542275384,563.3164397440851
