brutOK,tH,tDW,err,tDC,tBB,n,errH
True,0.08220864252731865,151.67561313137412,True,210.6512174518271,238.88801550492644,27,0.0
True,0.08291931907101653,127.13977268063708,True,156.8026782013476,437.1402726043016,27,0.0034965034965034965
True,0.08267685365925971,191.5933014645886,True,317.75435326354847,588.500520059218,27,0.0
True,0.08162675685192404,127.0259234220966,True,163.7823175949355,1676.1199708562344,27,0.0
True,0.0834987505220046,260.4684822209593,True,404.6350439699988,869.6514815092087,27,0.01634877384196185
True,0.0829620753662187,135.81867043911996,True,202.9414386682523,4075.9415139909834,27,0.015151515151515152
True,0.08303734559677418,186.91584677435458,True,272.57066778838634,1752.2312270011753,27,0.013114754098360656
True,0.0827057426861517,120.8022031467408,True,210.58207691054454,553.1889270059764,27,0.0025252525252525255
True,0.083036224940405,224.9632093589753,True,302.6671495172195,4519.0523660276085,27,0.0
True,0.08240340553468811,232.32551468536258,True,397.00046232125413,396.85554530782,27,0.0
True,0.08245159713030564,210.1848619905385,True,268.37713431773915,906.2616433948278,27,0.0
True,0.08281735871106682,221.2739717426964,True,325.7611589838884,896.4113809634,27,0.0
True,0.08343401884809608,155.78992740872005,True,227.0644732983783,131.22701099408525,27,0.0
True,0.08267184913724121,177.76659634962147,True,247.72459929808974,1918.871328001842,27,0.00909090909090909
True,0.08332593014296068,187.70113814837083,True,251.9819949908803,798.9829235011712,27,0.0
True,0.08397253507906859,183.11869716629957,True,236.42664880026132,399.90095160901546,27,0.0
True,0.08318059487437326,293.8642264925875,True,299.89126726286486,1922.613536939025,27,0.0
True,0.08202125250263956,247.18261039815843,True,334.7010992999588,2273.323566885665,27,0.0
True,0.08162538645541358,214.9539897430011,True,326.6664984236871,1516.348032047972,27,0.0
True,0.08208830106995474,239.44555060006678,True,277.2377032379154,3979.8126078676432,27,0.0029069767441860465
True,0.08413445505731373,188.74781707731577,True,225.6706519983709,215.15107675804757,27,0.03254437869822485
True,0.08265705024311316,238.01738950423896,True,253.57468446923625,4959.697131067514,27,0.016574585635359115
True,0.08141705309540764,341.62101315866624,True,438.9458485879004,311.44900899380445,27,0.012307692307692308
True,0.08231441291698946,137.18270171537168,True,203.41516650902727,441.0785400541499,27,0.006289308176100629
