tDC,errH,n,err,tDW,tBB,tH,brutOK
310.39243543636985,0.008090614886731391,27,True,112.16889783761209,738.7311997823417,0.08168062312795947,True
226.28206918439406,0.005016722408026756,27,True,82.83278183468306,1816.1129885120317,0.0826434547339118,True
270.1717468444258,0.0038684719535783366,27,True,114.55221374540828,1096.444180002436,0.08238931631717865,True
381.7616992343504,0.0,27,True,98.94783305935562,1187.6936900274206,0.08094931125740032,True
245.67214510170743,0.025167785234899327,27,True,79.65736843705658,169.936293725517,0.0830153832204098,True
225.32598286951807,0.012396694214876033,27,True,88.93467700025732,912.855670414865,0.08267456307988194,True
267.64877311264473,0.0,27,True,89.94537825611505,893.5518059879541,0.08263505000137658,True
229.1120564276796,0.005681818181818182,27,True,87.34666138658659,675.0658448519451,0.08272659625992669,True
268.18304111818884,0.0,27,True,88.11889973003417,551.0974332573824,0.0828290736470117,True
398.724540505403,0.012681159420289856,27,True,107.04780476289274,5280.507376883179,0.0811006195440267,True
257.37710852224967,0.00819672131147541,27,True,92.60571922421596,690.754451855485,0.08268036809764887,True
427.3571407380091,0.0017793594306049821,27,True,125.76028622854024,1481.815445004031,0.08064223449724403,True
189.28485688789246,0.036036036036036036,27,True,53.45622883729076,910.610821004957,0.08308159616434156,True
187.25895381066948,0.0021008403361344537,27,True,73.8213171786281,2474.174787523225,0.0799859957464123,True
340.40251129772514,0.0,27,True,109.27839121884769,900.0337222823873,0.08139169783036905,True
257.5612054206431,0.003787878787878788,27,True,85.11903577741107,916.3980261888355,0.0824218737365972,True
297.87659319117665,0.0,27,True,70.0118663510911,43.532435798038875,0.08178916072821257,True
246.97986838873476,0.0021691973969631237,27,True,97.88828974124044,1655.2876784699038,0.08079275351822532,True
198.35866367444396,0.008291873963515755,27,True,60.86714731574786,1039.6336277481169,0.08265702435343258,True
272.71110305769577,0.01717557251908397,27,True,79.5553827718381,352.3610852336368,0.08164294192612909,True
309.2744620080339,0.0137524557956778,27,True,111.2494032078592,267.4930652428884,0.08253430870041148,True
348.8755280684148,0.0,27,True,131.2120561549244,392.55282481793654,0.08280807831294454,True
348.64228070780104,0.0018552875695732839,27,True,100.61566579621285,813.0290100350976,0.08237001313308091,True
357.97727138448795,0.0,27,True,118.1699934781396,436.0336483223364,0.08331798428234076,True
330.5665095769135,0.009819967266775777,27,True,105.41736580768323,142.70115275867283,0.08331847433029976,True
163.942573669677,0.002150537634408602,27,True,93.30163018795538,1770.868427469395,0.08162137368387141,True
391.18626543010276,0.0,27,True,155.9796844488911,1190.6957253813744,0.0816692696736823,True
271.36068584190474,0.008368200836820083,27,True,104.87908040212983,569.6146598617945,0.08240570223369252,True
254.1305846412127,0.0,27,True,84.41887986530567,3642.4637271557003,0.08192444095147432,True
299.3199842458125,0.0,27,True,72.48423175256261,806.8217306475466,0.08169494482299071,True
230.57373990083025,0.013782542113323124,27,True,62.55624146801949,75.95328698610706,0.08240896646665578,True
281.3429127666442,0.015306122448979591,27,True,88.59937255121102,335.88464953936636,0.08209188938407047,True
221.34894990912554,0.0,27,True,96.16906593929833,528.0683086020872,0.08171676696460943,True
308.32683701009955,0.00186219739292365,27,True,101.98600890057884,188.4091894996042,0.08306172728405244,True
225.10722182183105,0.0,27,True,73.99004655403655,680.9820155613124,0.08253615771863637,True
207.10858105060956,0.004310344827586207,27,True,83.86409101944606,3219.525455031544,0.08080889271947155,True
342.6227579225919,0.005434782608695652,27,True,64.62499691028293,1140.6740087550133,0.08295248735011722,True
224.524721365676,0.0,27,True,53.11518468924107,1051.7984682810493,0.08177750245001357,True
217.66301709100267,0.0,27,True,101.37178175797571,1407.8453586747248,0.08139247995961522,True
188.3363621130299,0.0,27,True,65.95569612147906,2121.5038924710825,0.08252527464525655,True
210.8696234797168,0.0076481835564053535,27,True,66.43408219950894,902.9189098160714,0.08287119871250298,True
